node_sig_1,node_sig2,bitcoin_sig_1,bitcoin_sig_2,features,chain_hash,channel_id,node_id_1,node_id_2,bitcoin_key_1,bitcoin_key_2
null,null,null,null,null,null,459,281,77,null,null
null,null,null,null,null,null,460,150,192,null,null
null,null,null,null,null,null,461,94,276,null,null
null,null,null,null,null,null,462,204,10,null,null
null,null,null,null,null,null,463,46,276,null,null
null,null,null,null,null,null,464,46,282,null,null
null,null,null,null,null,null,465,250,282,null,null
null,null,null,null,null,null,466,282,40,null,null
null,null,null,null,null,null,467,87,275,null,null
null,null,null,null,null,null,468,10,283,null,null
null,null,null,null,null,null,469,276,70,null,null
null,null,null,null,null,null,470,54,284,null,null
null,null,null,null,null,null,471,276,252,null,null
null,null,null,null,null,null,472,58,285,null,null
null,null,null,null,null,null,473,286,58,null,null
null,null,null,null,null,null,474,276,287,null,null
null,null,null,null,null,null,475,54,288,null,null
null,null,null,null,null,null,476,54,289,null,null
null,null,null,null,null,null,477,258,263,null,null
null,null,null,null,null,null,478,250,290,null,null
null,null,null,null,null,null,479,46,290,null,null
null,null,null,null,null,null,480,33,291,null,null
null,null,null,null,null,null,481,54,292,null,null
null,null,null,null,null,null,482,46,293,null,null
null,null,null,null,null,null,483,227,40,null,null
null,null,null,null,null,null,484,263,294,null,null
null,null,null,null,null,null,485,26,295,null,null
null,null,null,null,null,null,486,150,227,null,null
null,null,null,null,null,null,487,296,177,null,null
null,null,null,null,null,null,488,95,177,null,null
null,null,null,null,null,null,489,297,298,null,null
null,null,null,null,null,null,490,298,5,null,null
null,null,null,null,null,null,491,299,298,null,null
null,null,null,null,null,null,492,298,8,null,null
null,null,null,null,null,null,493,95,298,null,null
null,null,null,null,null,null,494,192,300,null,null
null,null,null,null,null,null,495,54,301,null,null
null,null,null,null,null,null,496,263,119,null,null
null,null,null,null,null,null,497,283,130,null,null
null,null,null,null,null,null,498,87,288,null,null
null,null,null,null,null,null,499,54,302,null,null
null,null,null,null,null,null,500,16,303,null,null
null,null,null,null,null,null,501,296,303,null,null
null,null,null,null,null,null,502,87,288,null,null
null,null,null,null,null,null,503,54,212,null,null
null,null,null,null,null,null,504,54,304,null,null
null,null,null,null,null,null,505,305,306,null,null
null,null,null,null,null,null,506,46,307,null,null
null,null,null,null,null,null,507,104,282,null,null
null,null,null,null,null,null,508,308,282,null,null
null,null,null,null,null,null,509,87,304,null,null
null,null,null,null,null,null,510,309,282,null,null
null,null,null,null,null,null,511,54,296,null,null
null,null,null,null,null,null,512,310,282,null,null
null,null,null,null,null,null,513,311,282,null,null
null,null,null,null,null,null,514,312,282,null,null
null,null,null,null,null,null,515,282,1,null,null
null,null,null,null,null,null,516,313,282,null,null
null,null,null,null,null,null,517,282,77,null,null
null,null,null,null,null,null,518,314,282,null,null
null,null,null,null,null,null,519,118,282,null,null
null,null,null,null,null,null,520,315,282,null,null
null,null,null,null,null,null,521,282,316,null,null
null,null,null,null,null,null,522,50,282,null,null
null,null,null,null,null,null,523,220,282,null,null
null,null,null,null,null,null,524,95,282,null,null
null,null,null,null,null,null,525,317,282,null,null
null,null,null,null,null,null,526,276,192,null,null
null,null,null,null,null,null,527,228,233,null,null
null,null,null,null,null,null,528,163,282,null,null
null,null,null,null,null,null,529,54,304,null,null
null,null,null,null,null,null,530,318,54,null,null
null,null,null,null,null,null,531,77,319,null,null
null,null,null,null,null,null,532,87,320,null,null
null,null,null,null,null,null,533,321,109,null,null
null,null,null,null,null,null,534,263,107,null,null
null,null,null,null,null,null,535,304,60,null,null
null,null,null,null,null,null,536,322,139,null,null
null,null,null,null,null,null,537,46,322,null,null
null,null,null,null,null,null,538,87,295,null,null
null,null,null,null,null,null,539,95,276,null,null
null,null,null,null,null,null,540,70,323,null,null
null,null,null,null,null,null,541,324,323,null,null
null,null,null,null,null,null,542,263,323,null,null
null,null,null,null,null,null,543,323,282,null,null
null,null,null,null,null,null,544,50,219,null,null
null,null,null,null,null,null,545,150,323,null,null
null,null,null,null,null,null,546,33,323,null,null
null,null,null,null,null,null,547,58,323,null,null
null,null,null,null,null,null,548,24,323,null,null
null,null,null,null,null,null,549,276,40,null,null
null,null,null,null,null,null,550,276,219,null,null
null,null,null,null,null,null,551,220,63,null,null
null,null,null,null,null,null,552,54,325,null,null
null,null,null,null,null,null,553,250,276,null,null
null,null,null,null,null,null,554,189,326,null,null
null,null,null,null,null,null,555,179,326,null,null
null,null,null,null,null,null,556,63,326,null,null
null,null,null,null,null,null,557,326,287,null,null
null,null,null,null,null,null,558,276,109,null,null
null,null,null,null,null,null,559,33,326,null,null
null,null,null,null,null,null,560,150,326,null,null
null,null,null,null,null,null,561,327,60,null,null
null,null,null,null,null,null,562,276,107,null,null
null,null,null,null,null,null,563,328,109,null,null
null,null,null,null,null,null,564,16,326,null,null
null,null,null,null,null,null,565,46,329,null,null
null,null,null,null,null,null,566,24,326,null,null
null,null,null,null,null,null,567,303,326,null,null
null,null,null,null,null,null,568,330,326,null,null
null,null,null,null,null,null,569,265,326,null,null
null,null,null,null,null,null,570,54,323,null,null
null,null,null,null,null,null,571,220,63,null,null
null,null,null,null,null,null,572,331,326,null,null
null,null,null,null,null,null,573,326,332,null,null
null,null,null,null,null,null,574,33,273,null,null
null,null,null,null,null,null,575,115,273,null,null
null,null,null,null,null,null,576,54,333,null,null
null,null,null,null,null,null,577,323,326,null,null
null,null,null,null,null,null,578,323,332,null,null
null,null,null,null,null,null,579,334,323,null,null
null,null,null,null,null,null,580,323,194,null,null
null,null,null,null,null,null,581,26,323,null,null
null,null,null,null,null,null,582,323,319,null,null
null,null,null,null,null,null,583,87,323,null,null
null,null,null,null,null,null,584,46,323,null,null
null,null,null,null,null,null,585,115,323,null,null
null,null,null,null,null,null,586,95,332,null,null
null,null,null,null,null,null,587,95,334,null,null
null,null,null,null,null,null,588,335,86,null,null
null,null,null,null,null,null,589,76,334,null,null
null,null,null,null,null,null,590,334,309,null,null
null,null,null,null,null,null,591,263,332,null,null
null,null,null,null,null,null,592,76,332,null,null
null,null,null,null,null,null,593,60,332,null,null
null,null,null,null,null,null,594,189,332,null,null
null,null,null,null,null,null,595,336,332,null,null
null,null,null,null,null,null,596,24,337,null,null
null,null,null,null,null,null,597,338,332,null,null
null,null,null,null,null,null,598,160,332,null,null
null,null,null,null,null,null,599,334,339,null,null
null,null,null,null,null,null,600,334,211,null,null
null,null,null,null,null,null,601,334,267,null,null
null,null,null,null,null,null,602,130,332,null,null
null,null,null,null,null,null,603,332,340,null,null
null,null,null,null,null,null,604,341,342,null,null
null,null,null,null,null,null,605,115,332,null,null
null,null,null,null,null,null,606,343,281,null,null
null,null,null,null,null,null,607,342,332,null,null
null,null,null,null,null,null,608,342,326,null,null
null,null,null,null,null,null,609,342,260,null,null
null,null,null,null,null,null,610,343,332,null,null
null,null,null,null,null,null,611,344,332,null,null
null,null,null,null,null,null,612,220,345,null,null
null,null,null,null,null,null,613,346,332,null,null
null,null,null,null,null,null,614,346,326,null,null
null,null,null,null,null,null,615,334,347,null,null
null,null,null,null,null,null,616,334,340,null,null
null,null,null,null,null,null,617,332,348,null,null
null,null,null,null,null,null,618,98,349,null,null
null,null,null,null,null,null,619,326,350,null,null
null,null,null,null,null,null,620,350,340,null,null
null,null,null,null,null,null,621,351,350,null,null
null,null,null,null,null,null,622,352,334,null,null
null,null,null,null,null,null,623,31,340,null,null
null,null,null,null,null,null,624,95,340,null,null
