sig,chainHash,channel_id,timestamp,message_flags,channel_flags,time_lock_delta,htlc_minimum_msat,base_fee,fee_late,htlc_maximum_msat
null,null,23614,29792827,null,0,34,1,1000,10,101683
null,null,23395,29796509,null,0,40,1000,1000,1,99014
null,null,25826,29817813,null,0,40,1000,1000,1000,99464
null,null,938,29901960,null,0,144,1000,475,250,100541
null,null,7391,29991313,null,0,40,1000,1000,1,99071
null,null,1519,29996445,null,0,144,1000,1000,1,97135
null,null,18416,30038751,null,0,40,1000,1000,1,97930
null,null,27855,30134374,null,0,40,1000,1000,1,97591
null,null,27407,30184357,null,0,40,1000,0,1,99603
null,null,30380,30197623,null,0,40,1000,1000,1,98626
null,null,24036,30364103,null,0,40,1000,1000,1,98824
null,null,2599,30429210,null,0,144,1000,1000,1,99427
null,null,21633,30455563,null,0,44,1000,1000,81,98875
null,null,20225,30457164,null,0,40,1000,1000,1,99257
null,null,24747,30457239,null,0,40,1000,0,0,97471
null,null,14509,30490930,null,0,40,1000,0,0,100138
null,null,28356,30499624,null,0,40,1000,1000,1,99317
null,null,26743,30514200,null,0,40,1000,1000,1,99560
null,null,28776,30711705,null,0,40,1000,1000,1,99478
null,null,18958,30742767,null,0,40,1000,0,1,99384
null,null,26134,30913354,null,0,40,1000,0,1,98943
null,null,16653,30952036,null,0,40,1000,1000,1,100416
null,null,14518,31007846,null,0,40,1000,0,0,100646
null,null,14401,31042247,null,0,40,1000,0,0,101145
null,null,14523,31046580,null,0,40,1000,0,0,101642
null,null,26584,31092278,null,0,40,1000,0,1,100640
null,null,26584,31092678,null,0,40,1000,0,1,100640
null,null,28137,31116083,null,0,40,1000,1000,1,100590
null,null,24692,31144180,null,0,40,1000,0,0,99396
null,null,24712,31168345,null,0,40,1000,0,0,99088
null,null,29148,31191383,null,0,40,1000,1000,1,99269
null,null,17008,31194772,null,0,40,1000,0,0,100516
null,null,25813,31265433,null,0,40,1000,1000,1,100370
null,null,14578,31328847,null,0,40,1000,0,500,101586
null,null,29814,31355702,null,0,40,1000,1000,1,100764
null,null,25201,31423823,null,0,40,1000,0,1,99966
null,null,23711,31424485,null,0,40,1000,0,1,100580
null,null,104,31572237,null,0,144,1000,1000,1,98757
null,null,23775,31572826,null,0,60,1000,2,5,100008
null,null,21999,31575634,null,0,40,1000,1000,1,101190
null,null,22883,31602576,null,0,40,1000,0,1,99431
null,null,20258,31634140,null,0,18,1000,0,1,100731
null,null,23042,31746818,null,0,40,1000,69420,69,100681
null,null,14685,31906571,null,0,40,1000,342,1,101082
null,null,28156,31966096,null,0,40,1000,1000,1,100387
null,null,2102,32030354,null,0,144,1000,1000,1,101116
null,null,13377,32042029,null,0,40,1000,1000,500,98647
null,null,10291,32067929,null,0,40,1,1000,1,100789
null,null,6460,32096705,null,0,144,1000,1000,1,100637
null,null,29086,32147134,null,0,40,1000,1000,1,101432
null,null,29365,32202672,null,0,40,1000,1000,1,97925
null,null,14530,32249516,null,0,40,1000,0,0,99862
null,null,24785,32268762,null,0,40,1000,0,0,98909
null,null,74,32313166,null,0,144,1000,1000,1,100705
null,null,26691,32347212,null,0,40,1000,1000,1,100402
null,null,26257,32469106,null,0,40,1000,0,1,98989
null,null,17062,32588689,null,0,40,1000,1000,1,98897
null,null,14477,32651296,null,0,40,1000,0,0,100608
null,null,30279,32674907,null,0,40,1000,1000,1,98754
null,null,16191,32763862,null,0,14,1,1000,10,100619
null,null,22021,32794739,null,0,40,1000,1000,1,100301
null,null,26067,32804645,null,0,40,1000,1,1,101138
null,null,13526,32832962,null,0,40,1000,1000,1,98955
null,null,15509,32846300,null,0,40,1,1000,1,100893
null,null,25866,32884967,null,0,50,1,100,1000,100722
null,null,14813,32945944,null,0,4,1000,5,1000000,100805
null,null,28788,33024811,null,0,40,1000,1000,1,98547
null,null,23927,33050547,null,0,40,1000,0,1,99232
null,null,5701,33191356,null,0,144,1,1000,1,101225
null,null,14929,33211829,null,0,40,1000,1000,1,100425
null,null,3600,33255524,null,0,144,1000,1000,1,101072
null,null,17474,33264223,null,0,34,1,1000,10,100389
null,null,13341,33289888,null,0,40,1000,1000,1,99860
null,null,9394,33349605,null,0,40,1,1000,1,98247
null,null,29824,33351270,null,0,40,1000,1000,1,97499
null,null,23314,33380057,null,0,40,1000,1000,1,102299
null,null,11431,33411953,null,0,40,1000,1000,1,100214
null,null,13084,33455589,null,0,40,1000,1000,1,99839
null,null,24454,33575914,null,0,40,1000,1000,1,100341
null,null,3688,33608204,null,0,14,1000,1000,10,101678
null,null,25550,33609083,null,0,40,1000,0,1,99470
null,null,17010,33629050,null,0,40,1000,0,0,101571
null,null,17010,33655493,null,0,40,1000,0,0,101635
null,null,12934,33667079,null,0,40,1000,0,0,101090
null,null,22447,33782830,null,0,40,1000,1000,1,99239
null,null,26690,33853437,null,0,40,1000,1000,1,99484
null,null,25567,34016834,null,0,40,1000,0,1,100177
null,null,25856,34041882,null,0,40,1000,0,1,98572
null,null,15488,34044257,null,0,40,1000,1000,1,99480
null,null,27262,34217634,null,0,40,1000,0,1,99718
null,null,20896,34237251,null,0,40,1000,1000,1,99917
null,null,28821,34267938,null,0,40,1000,1000,1,101074
null,null,28821,34268137,null,0,40,1000,1000,1,101074
null,null,23922,34281088,null,0,40,1000,0,1,101528
null,null,23922,34281689,null,0,40,1000,0,1,101528
null,null,27145,34332145,null,0,40,1000,0,1,99847
null,null,14525,34351701,null,0,40,1000,0,0,99003
null,null,27032,34375714,null,0,40,1000,1000,1,100081
null,null,28359,34594804,null,0,40,1000,1000,1,99316
null,null,14377,34645048,null,0,40,1000,0,0,99834
null,null,14383,34658237,null,0,40,1000,0,0,98827
null,null,21904,34673344,null,0,40,1000,0,1,100620
null,null,21904,34673542,null,0,40,1000,0,1,100620
null,null,452,34700080,null,0,144,1000,1000,100,100032
null,null,27206,34750158,null,0,40,1000,0,1,100917
null,null,14400,35034664,null,0,40,1000,0,0,99738
null,null,29301,35039103,null,0,144,1,1000,100,100058
null,null,25499,35144740,null,0,40,1000,0,1,98382
null,null,14396,35162818,null,0,40,1000,0,0,99901
null,null,27039,35260010,null,0,40,1000,1000,1,100423
null,null,26860,35319942,null,0,40,1000,1000,1,101960
null,null,26860,35320138,null,0,40,1000,1000,1,101960
null,null,28862,35406204,null,0,40,1000,1000,1,98858
null,null,28564,35523088,null,0,40,1000,1000,1,98631
null,null,13974,35571513,null,0,40,1000,0,0,99793
null,null,13977,35579423,null,0,40,1000,0,0,100173
null,null,25504,35609008,null,0,40,1000,0,1,99462
null,null,24721,35614642,null,0,40,1000,0,0,100659
null,null,24765,35622146,null,0,40,1000,0,0,100359
null,null,23929,35665723,null,0,40,1000,0,1,100846
null,null,24712,35675224,null,0,40,1000,0,0,100928
null,null,316,35704626,null,0,14,1000,1000,10,99688
null,null,6188,35754028,null,0,144,1000,1000,1,97812
null,null,27437,35970288,null,0,40,1000,0,1,100485
null,null,30109,36070362,null,0,40,1000,1000,1,100768
null,null,24746,36081320,null,0,40,1000,0,0,99654
null,null,25044,36126128,null,0,40,1000,1000,1,100613
null,null,8763,36222142,null,0,40,1,1000,1,101400
null,null,23276,36241717,null,0,40,1000,1000,1,100223
null,null,14381,36371915,null,0,40,1000,0,0,100987
null,null,14515,36414245,null,0,40,1000,0,0,97929
null,null,11128,36428963,null,0,40,1000,0,0,101034
null,null,24143,36502464,null,0,40,1000,1000,1,100058
null,null,22437,36533010,null,0,40,1000,1000,1,100049
null,null,24688,36600378,null,0,40,1000,0,0,99447
null,null,14169,36657928,null,0,40,1000,0,0,98479
null,null,13864,36741798,null,0,0,0,0,0,101730
null,null,28384,36741814,null,0,40,1000,1000,1,99999
null,null,12906,36759202,null,0,40,1000,0,0,100451
null,null,30276,36765721,null,0,40,1000,1000,1,101425
null,null,26995,36826082,null,0,40,1000,0,1,100783
null,null,10536,36903849,null,0,40,1000,1000,1,99911
null,null,17087,36949107,null,0,34,1,1000,10,99545
null,null,11983,36957266,null,0,40,1000,1000,1,100166
null,null,1377,37020303,null,0,144,1000,1000,1,100052
null,null,7569,37037097,null,0,144,1,480,1,100532
null,null,11694,37075904,null,0,40,1000,1000,1,97862
null,null,3485,37111074,null,0,144,1,1000,100,100433
null,null,2149,37239353,null,0,144,1000,1000,1,99474
null,null,24767,37257909,null,0,40,1000,0,0,100402
null,null,16629,37259901,null,0,40,1000,1000,1,99517
null,null,24216,37263104,null,0,40,1000,1000,1,99520
null,null,24216,37263499,null,0,40,1000,1000,1,99520
null,null,26327,37263631,null,0,40,1000,1000,1,100299
null,null,12979,37289888,null,0,40,1,1000,1,99158
null,null,11311,37298958,null,0,40,1000,1000,100,100588
null,null,1355,37359163,null,0,14,1000,1000,10,101338
null,null,22810,37495870,null,0,40,1000,1000,1,100982
null,null,26198,37663670,null,0,40,1000,1,1,100476
null,null,26858,37753834,null,0,40,1000,1000,1,100048
null,null,17986,37848066,null,0,22,1,20,1,100470
null,null,7618,38225884,null,0,40,1000,1000,1,99703
null,null,26257,38351173,null,0,40,1000,0,1,101218
null,null,30054,38372000,null,0,40,1000,1000,1,98228
null,null,26584,38390593,null,0,40,1000,0,1,99566
null,null,29863,38426791,null,0,40,1000,1000,1,100632
null,null,14526,38515461,null,0,40,1000,0,0,99229
null,null,14044,38526598,null,0,40,1000,1000,1,98092
null,null,14474,38530302,null,0,40,1000,0,0,100330
null,null,14471,38557323,null,0,40,1000,0,0,99722
null,null,3785,38709289,null,0,144,1000,0,1,100692
null,null,13979,38713112,null,0,40,1000,0,0,99842
null,null,27053,38715403,null,0,40,1000,1000,1,97997
null,null,24685,38730584,null,0,40,1000,0,0,99840
null,null,29190,38745410,null,0,34,1,246,2,99309
null,null,28085,38753459,null,0,40,1000,1000,1,98218
null,null,16636,38790412,null,0,40,1000,1000,1,97683
null,null,24207,38824472,null,0,40,1000,0,0,99344
null,null,14387,38951999,null,0,40,1000,0,0,100077
null,null,12934,38976769,null,0,40,1000,0,0,99798
null,null,27734,39048978,null,0,40,1000,1000,1,100513
null,null,24811,39060866,null,0,40,1000,0,0,100310
null,null,24725,39063336,null,0,40,1000,0,0,100312
